input 99: successful attacks = 1, inputs = [['36']], input deviations = [['19.976744253138495']], output change = ['15.434262298001158'], times = [0.0012624263763427734], max_time = 0.0012624263763427734
input 100: successful attacks = 1, inputs = [['36']], input deviations = [['19.97654285098222']], output change = ['15.434106692379544'], times = [0.001157999038696289], max_time = 0.001157999038696289
input 101: successful attacks = 1, inputs = [['36']], input deviations = [['19.975983449959063']], output change = ['15.433674492717131'], times = [0.001191854476928711], max_time = 0.001191854476928711
input 102: successful attacks = 1, inputs = [['36']], input deviations = [['19.975792587684282']], output change = ['15.433527030329145'], times = [0.0011606216430664062], max_time = 0.0011606216430664062
input 103: successful attacks = 1, inputs = [['36']], input deviations = [['19.974946329923938']], output change = ['15.432873201853596'], times = [0.0012085437774658203], max_time = 0.0012085437774658203
input 104: successful attacks = 1, inputs = [['36']], input deviations = [['19.974802612434804']], output change = ['15.43276216406906'], times = [0.0011568069458007812], max_time = 0.0011568069458007812
input 105: successful attacks = 1, inputs = [['36']], input deviations = [['19.974710751511402']], output change = ['15.43269119126333'], times = [0.0011665821075439453], max_time = 0.0011665821075439453
input 106: successful attacks = 1, inputs = [['36']], input deviations = [['19.9733871618152']], output change = ['15.431668570645712'], times = [0.0011484622955322266], max_time = 0.0011484622955322266
input 107: successful attacks = 1, inputs = [['36']], input deviations = [['19.973874382343066']], output change = ['15.432045002827437'], times = [0.001153707504272461], max_time = 0.001153707504272461
input 108: successful attacks = 1, inputs = [['36']], input deviations = [['19.973633181011383']], output change = ['15.431858647905244'], times = [0.0011794567108154297], max_time = 0.0011794567108154297
input 109: successful attacks = 1, inputs = [['36']], input deviations = [['19.971936773863263']], output change = ['15.430547984237705'], times = [0.001177072525024414], max_time = 0.001177072525024414
input 110: successful attacks = 1, inputs = [['36']], input deviations = [['19.97192672998468']], output change = ['15.430540224221744'], times = [0.001192331314086914], max_time = 0.001192331314086914
input 111: successful attacks = 1, inputs = [['36']], input deviations = [['19.973283763155045']], output change = ['15.431588683651967'], times = [0.0011987686157226562], max_time = 0.0011987686157226562
input 112: successful attacks = 1, inputs = [['36']], input deviations = [['19.971934370921552']], output change = ['15.430546127697426'], times = [0.001220703125], max_time = 0.001220703125
input 113: successful attacks = 1, inputs = [['36']], input deviations = [['19.970894258070004']], output change = ['15.429742524549397'], times = [0.001177072525024414], max_time = 0.001177072525024414
input 114: successful attacks = 1, inputs = [['36']], input deviations = [['19.971664301078643']], output change = ['15.430337468631649'], times = [0.0011882781982421875], max_time = 0.0011882781982421875
input 115: successful attacks = 1, inputs = [['36']], input deviations = [['19.971283058546597']], output change = ['15.43004291626795'], times = [0.0011906623840332031], max_time = 0.0011906623840332031
input 116: successful attacks = 1, inputs = [['36']], input deviations = [['19.970898430755046']], output change = ['15.429745748413893'], times = [0.0011632442474365234], max_time = 0.0011632442474365234
input 117: successful attacks = 1, inputs = [['36']], input deviations = [['19.971778446473035']], output change = ['15.43042565867583'], times = [0.001210927963256836], max_time = 0.001210927963256836
input 118: successful attacks = 1, inputs = [['36']], input deviations = [['19.970603924285875']], output change = ['15.429518209329643'], times = [0.0011866092681884766], max_time = 0.0011866092681884766
input 119: successful attacks = 1, inputs = [['36']], input deviations = [['19.96945749290702']], output change = ['15.428632463264876'], times = [0.001216888427734375], max_time = 0.001216888427734375
input 120: successful attacks = 1, inputs = [['36']], input deviations = [['19.969132413880196']], output change = ['15.428381303470957'], times = [0.0011723041534423828], max_time = 0.0011723041534423828
input 121: successful attacks = 1, inputs = [['36']], input deviations = [['19.968381378928882']], output change = ['15.427801045232513'], times = [0.0011889934539794922], max_time = 0.0011889934539794922
